CH1 amp,CH2 amp,CH1 dBm,CH2 dBm
0,0,-50,-50
16,16,-20.66,-20.89
32,32,-14.33,-14.39
48,48,-10.81,-10.83
64,64,-8.32,-8.33
80,80,-6.4,-6.39
96,96,-4.83,-4.81
112,112,-3.5,-3.48
128,128,-2.35,-2.33
144,144,-1.33,-1.31
160,160,-0.42,-0.4
176,176,0.4,0.43
192,192,1.15,1.18
208,208,1.84,1.88
224,224,2.48,2.52
240,240,3.08,3.11
256,256,3.64,3.67
272,272,4.16,4.2
288,288,4.66,4.69
304,304,5.12,5.16
320,320,5.57,5.61
336,336,5.99,6.03
352,352,6.39,6.43
368,368,6.78,6.82
384,384,7.15,7.19
400,400,7.5,7.54
416,416,7.84,7.88
432,432,8.17,8.21
448,448,8.48,8.52
464,464,8.79,8.83
480,480,9.08,9.12
496,496,9.36,9.4
512,512,9.64,9.68
528,528,9.91,9.95
544,544,10.16,10.21
560,560,10.42,10.46
576,576,10.66,10.7
592,592,10.9,10.94
608,608,11.13,11.17
624,624,11.35,11.4
640,640,11.57,11.62
656,656,11.79,11.83
672,672,12,12.04
688,688,12.2,12.24
704,704,12.4,12.44
720,720,12.59,12.64
736,736,12.78,12.83
752,752,12.97,13.01
768,768,13.15,13.2
784,784,13.33,13.38
800,800,13.51,13.55
816,816,13.68,13.72
832,832,13.85,13.89
848,848,14.01,14.06
864,864,14.17,14.22
880,880,14.33,14.38
896,896,14.49,14.53
912,912,14.64,14.69
928,928,14.79,14.84
944,944,14.89,14.97
960,960,14.99,15.11
976,976,15.08,15.24
992,992,15.18,15.37
1008,1008,15.29,15.5
1024,1024,15.39,15.62
1040,1040,15.49,15.75
1056,1056,15.6,15.88
1072,1072,15.7,16
1088,1088,15.81,16.12
1104,1104,15.91,16.24
1120,1120,16.02,16.36
1136,1136,16.13,16.48
1152,1152,16.23,16.6
1168,1168,16.34,16.71
1184,1184,16.45,16.83
1200,1200,16.55,16.94
1216,1216,16.66,17.06
1232,1232,16.77,17.17
1248,1248,16.87,17.28
1264,1264,16.98,17.39
1280,1280,17.09,17.49
1296,1296,17.19,17.6
1312,1312,17.3,17.71
1328,1328,17.4,17.81
1344,1344,17.51,17.91
1360,1360,17.61,18.02
1376,1376,17.71,18.12
1392,1392,17.81,18.22
1408,1408,17.92,18.32
1424,1424,18.02,18.42
1440,1440,18.12,18.51
1456,1456,18.22,18.61
1472,1472,18.32,18.7
1488,1488,18.42,18.8
1504,1504,18.51,18.89
1520,1520,18.61,18.99
1536,1536,18.71,19.08
1552,1552,18.8,19.17
1568,1568,18.9,19.26
1584,1584,18.99,19.35
1600,1600,19.09,19.44
1616,1616,19.18,19.52
1632,1632,19.27,19.61
1648,1648,19.36,19.7
1664,1664,19.45,19.78
1680,1680,19.54,19.87
1696,1696,19.63,19.95
1712,1712,19.72,20.03
1728,1728,19.81,20.11
1744,1744,19.89,20.2
1760,1760,19.98,20.28
1776,1776,20.07,20.36
1792,1792,20.15,20.43
1808,1808,20.23,20.51
1824,1824,20.32,20.59
1840,1840,20.4,20.67
1856,1856,20.48,20.74
1872,1872,20.56,20.82
1888,1888,20.64,20.9
1904,1904,20.72,20.97
1920,1920,20.8,21.04
1936,1936,20.88,21.12
1952,1952,20.96,21.19
1968,1968,21.04,21.26
1984,1984,21.11,21.33
2000,2000,21.19,21.4
2016,2016,21.27,21.47
2032,2032,21.34,21.54
2048,2048,21.41,21.61
2064,2064,21.49,21.68
2080,2080,21.56,21.75
2096,2096,21.63,21.82
2112,2112,21.7,21.88
2128,2128,21.78,21.95
2144,2144,21.85,22.02
2160,2160,21.92,22.08
2176,2176,21.99,22.15
2192,2192,22.05,22.21
2208,2208,22.12,22.28
2224,2224,22.19,22.34
2240,2240,22.26,22.4
2256,2256,22.32,22.47
2272,2272,22.39,22.53
2288,2288,22.46,22.59
2304,2304,22.52,22.65
2320,2320,22.59,22.71
2336,2336,22.65,22.77
2352,2352,22.71,22.83
2368,2368,22.78,22.89
2384,2384,22.84,22.95
2400,2400,22.9,23.01
2416,2416,22.96,23.07
2432,2432,23.02,23.12
2448,2448,23.08,23.18
2464,2464,23.14,23.24
2480,2480,23.2,23.29
2496,2496,23.26,23.35
2512,2512,23.32,23.41
2528,2528,23.38,23.46
2544,2544,23.44,23.52
2560,2560,23.5,23.57
2576,2576,23.55,23.63
2592,2592,23.61,23.68
2608,2608,23.67,23.73
2624,2624,23.72,23.79
2640,2640,23.78,23.84
2656,2656,23.83,23.89
2672,2672,23.89,23.94
2688,2688,23.94,23.99
2704,2704,24,24.05
2720,2720,24.05,24.1
2736,2736,24.1,24.15
2752,2752,24.16,24.2
2768,2768,24.21,24.25
2784,2784,24.26,24.3
2800,2800,24.31,24.35
2816,2816,24.36,24.4
2832,2832,24.41,24.45
2848,2848,24.46,24.49
2864,2864,24.51,24.54
2880,2880,24.56,24.59
2896,2896,24.61,24.64
2912,2912,24.66,24.69
2928,2928,24.71,24.73
2944,2944,24.76,24.78
2960,2960,24.81,24.83
2976,2976,24.86,24.87
2992,2992,24.9,24.92
3008,3008,24.95,24.96
3024,3024,25,25.01
3040,3040,25.04,25.05
3056,3056,25.09,25.1
3072,3072,25.14,25.14
3088,3088,25.18,25.19
3104,3104,25.23,25.23
3120,3120,25.27,25.27
3136,3136,25.32,25.32
3152,3152,25.36,25.36
3168,3168,25.41,25.4
3184,3184,25.45,25.45
3200,3200,25.49,25.49
3216,3216,25.54,25.53
3232,3232,25.58,25.57
3248,3248,25.62,25.62
3264,3264,25.67,25.66
3280,3280,25.71,25.7
3296,3296,25.75,25.74
3312,3312,25.79,25.78
3328,3328,25.83,25.82
3344,3344,25.87,25.86
3360,3360,25.92,25.9
3376,3376,25.96,25.94
3392,3392,26,25.98
3408,3408,26.04,26.02
3424,3424,26.08,26.06
3440,3440,26.12,26.1
3456,3456,26.16,26.14
3472,3472,26.2,26.18
3488,3488,26.24,26.21
3504,3504,26.27,26.25
3520,3520,26.31,26.29
3536,3536,26.35,26.33
3552,3552,26.39,26.37
3568,3568,26.43,26.4
3584,3584,26.46,26.44
3600,3600,26.5,26.48
